IMF EM,BRICS & Next Eleven,FTSE EM,MSCI EM,S&P EM,EM Bond Index,Dow Jones EM,Russell EM,Columbia University EMGP,Cornell University EMI E20
Argentina, , , , ,Argentina, , ,Argentina,Argentina
Bangladesh,Bangladesh, , , ,Bangladesh, , , ,Bangladesh
Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
Bulgaria, , , , , , , , , 
Chile, ,Chile,Chile,Chile,Chile,Chile,Chile,Chile, 
China,China,China,China,China,China,China,China,China,China
Colombia, ,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
 , ,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic, , 
 ,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt, ,Egypt,Egypt
 , ,Greece,Greece,Greece, ,Greece,Greece, , 
Hungary, ,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary, 
India,India,India,India,India,India,India,India,India,India
Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia, ,Indonesia
 ,Iran, , , , , , , ,Iran
 , , , , ,Israel, , ,Israel, 
 , ,Kuwait,Kuwait,Kuwait, , , , , 
Malaysia, ,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia, ,Malaysia
 , , , , , , , ,Mauritius, 
Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco, 
 ,Nigeria, , , ,Nigeria, , , ,Nigeria
 , , , , ,Oman, , , , 
Pakistan,Pakistan,Pakistan, ,Pakistan,Pakistan, , , , 
Peru, ,Peru,Peru,Peru,Peru,Peru,Peru, , 
Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines, ,Philippines
Poland, , ,Poland,Poland,Poland,Poland, ,Poland,Poland
 , ,Qatar,Qatar,Qatar,Qatar,Qatar, , , 
Romania, ,Romania, , ,Romania, , , , 
Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
 , ,Saudi Arabia,Saudi Arabia, , , , , ,Saudi Arabia
South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
 ,South Korea, ,South Korea, , , , ,South Korea,South Korea
 , ,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan, 
Thailand, ,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
Ukraine, , , , ,Ukraine, , , , 
 , ,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates, 
Venezuela, , , , ,Venezuela, , , , 